"Latitude","Longitude","Cluster"
37.3991666666667,-121.912777777778,201
37.3991111111111,-121.912888888889,201
37.3991111111111,-121.912888888889,201
37.3905,-121.917722222222,201
37.3905,-121.917722222222,201
37.3905,-121.917722222222,201
37.3905,-121.917722222222,201
37.3902777777778,-121.9175,201
37.393,-121.908277777778,202
37.393,-121.908277777778,201
37.4258333333333,-121.921111111111,201
37.4256944444444,-121.921138888889,201
37.3913055555556,-121.90525,201
37.3916111111111,-121.904944444444,201
37.3916111111111,-121.904944444444,201
37.3911944444444,-121.905166666667,201
37.4006666666667,-121.940638888889,201
37.4008333333333,-121.940277777778,201
37.4008333333333,-121.940277777778,201
37.4008333333333,-121.940555555556,201
37.3791111111111,-121.921888888889,201
37.3791111111111,-121.921888888889,201
37.3791111111111,-121.921888888889,201
37.3791111111111,-121.921888888889,201
37.3791111111111,-121.921888888889,201
37.3791111111111,-121.921888888889,201
37.3788333333333,-121.921888888889,201
37.4196666666667,-121.889388888889,201
37.4196666666667,-121.889388888889,201
37.3797222222222,-121.940138888889,201
37.3797222222222,-121.94,201
37.37975,-121.940194444444,201
37.3725,-121.918055555556,201
37.3726111111111,-121.918305555556,201
37.4199444444444,-121.95775,201
37.4202777777778,-121.9575,203
37.433,-121.888833333333,201
37.433,-121.888833333333,201
37.3868888888889,-121.956333333333,204
37.3868888888889,-121.956333333333,201
37.3646666666667,-121.909111111111,201
37.3646666666667,-121.909111111111,201
37.3616111111111,-121.928833333333,201
37.3616111111111,-121.928833333333,201
37.3616111111111,-121.929388888889,201
37.3618611111111,-121.929,204
37.3616111111111,-121.928833333333,204
37.3616111111111,-121.929388888889,201
37.3618611111111,-121.929,201
37.4463888888889,-121.892222222222,201
37.4463333333333,-121.892166666667,201
37.4049444444444,-121.917166666667,201
37.4049444444444,-121.917166666667,201
37.4032777777778,-121.928277777778,204
37.4032777777778,-121.928277777778,204
37.4088333333333,-121.929666666667,201
37.4088333333333,-121.929666666667,201
37.4009166666667,-121.92925,201
37.4011944444444,-121.929333333333,201
37.4105,-121.932166666667,201
37.4105,-121.932166666667,204
37.4105,-121.932166666667,204
37.4113333333333,-121.933,204
37.4113333333333,-121.933,204
37.4113333333333,-121.933,204
37.3985555555556,-121.931611111111,201
37.3985555555556,-121.931611111111,201
37.4235277777778,-121.919944444444,204
37.4235277777778,-121.919944444444,201
37.4235555555556,-121.919944444444,201
37.4235555555556,-121.919944444444,204
37.4235555555556,-121.919944444444,201
37.4235555555556,-121.919944444444,204
37.4235555555556,-121.919944444444,201
37.4235555555556,-121.919944444444,204
37.4235555555556,-121.919944444444,204
37.4235555555556,-121.919944444444,201
37.4235555555556,-121.919944444444,201
37.4235555555556,-121.919944444444,201
37.4249166666667,-121.920777777778,201
37.4249444444444,-121.920777777778,201
37.4182777777778,-121.905777777778,201
37.4182777777778,-121.905777777778,201
37.4182777777778,-121.905777777778,201
37.4202777777778,-121.935,201
37.4204722222222,-121.934722222222,201
37.3860555555556,-121.924111111111,201
37.3860555555556,-121.924111111111,204
37.3966111111111,-121.939388888889,201
37.3966111111111,-121.939388888889,201
37.4130555555556,-121.897777777778,204
37.4131111111111,-121.897972222222,201
37.4029166666667,-121.942722222222,204
37.4024722222222,-121.942555555556,201
37.4122222222222,-121.896666666667,204
37.4125,-121.896944444444,204
37.4282777777778,-121.906611111111,201
37.4282777777778,-121.906611111111,201
37.4282777777778,-121.9055,204
37.4283333333333,-121.905555555556,201
37.4068055555556,-121.945583333333,201
37.4068055555556,-121.945583333333,201
37.4068055555556,-121.945583333333,201
37.383,-121.910777777778,201
37.383,-121.910777777778,204
37.383,-121.910777777778,201
37.4332777777778,-121.917722222222,201
37.4335277777778,-121.917722222222,201
37.4360555555556,-121.917722222222,201
37.4360555555556,-121.917722222222,204
37.4360555555556,-121.917722222222,201
37.4360555555556,-121.917722222222,201
37.4360555555556,-121.917722222222,201
37.4360555555556,-121.917722222222,201
37.4360555555556,-121.917722222222,204
37.4360555555556,-121.917722222222,201
37.4360555555556,-121.917722222222,201
37.4360555555556,-121.917722222222,201
37.4360555555556,-121.917722222222,204
37.4360555555556,-121.917722222222,201
37.3841111111111,-121.901888888889,204
37.3841111111111,-121.901888888889,201
37.3841111111111,-121.901888888889,201
37.4318888888889,-121.901611111111,201
37.4318888888889,-121.901611111111,201
37.4182777777778,-121.890777777778,201
37.418,-121.890777777778,201
37.4182777777778,-121.891055555556,204
37.4182777777778,-121.891055555556,201
37.3766111111111,-121.923277777778,204
37.3766111111111,-121.923277777778,201
37.4002222222222,-121.889388888889,201
37.4002222222222,-121.889388888889,201
37.4219444444444,-121.891972222222,201
37.4219444444444,-121.891972222222,201
37.3821388888889,-121.939111111111,204
37.3821666666667,-121.939111111111,201
37.3821388888889,-121.939111111111,201
37.3821388888889,-121.939111111111,201
37.3807777777778,-121.901055555556,204
37.3807777777778,-121.900777777778,201
37.3744444444444,-121.918888888889,201
37.3743611111111,-121.918555555556,201
37.4383055555556,-121.907,204
37.4380555555556,-121.907222222222,204
37.4380555555556,-121.907222222222,201
37.4116111111111,-121.953861111111,201
37.4116111111111,-121.953861111111,201
37.3946666666667,-121.952166666667,201
37.3949166666667,-121.952166666667,203
37.3949166666667,-121.952166666667,201
37.3949444444444,-121.952166666667,204
37.3727222222222,-121.924111111111,201
37.3727222222222,-121.924111111111,204
37.3702222222222,-121.914666666667,204
37.3702222222222,-121.914666666667,201
37.4329722222222,-121.891333333333,204
37.4327777777778,-121.891666666667,201
37.3760555555556,-121.896888888889,204
37.3760555555556,-121.896888888889,204
37.3760555555556,-121.896888888889,204
37.3760555555556,-121.896888888889,204
37.3760555555556,-121.896888888889,201
37.3760555555556,-121.896888888889,201
37.3696666666667,-121.929388888889,201
37.3693888888889,-121.929111111111,204
37.3696666666667,-121.929388888889,204
37.3751944444444,-121.896333333333,201
37.3752222222222,-121.896333333333,201
37.3674444444444,-121.915611111111,204
37.3677222222222,-121.9155,201
37.388,-121.956611111111,204
37.388,-121.956611111111,204
37.3660555555556,-121.908833333333,201
37.3660555555556,-121.908833333333,204
37.3660555555556,-121.908833333333,204
